case_id,customer_message,reply,human_correctness,human_grounding,human_relevance,human_helpfulness,human_no_unsupported_claims,human_overall,human_notes
1,My iPhone battery is draining very quickly after the latest iOS update.,Let's take a look at your iPhone battery draining quickly after the latest iOS update. Please DM us your iOS version to get started: https://t.co/GDrqU22YpT,5,5,5,4,5,5,Relevant response; asks for iOS version and DM follow-up.
2,My apps keep freezing on my MacBook Air.,"We're sorry to hear your apps keep freezing on your MacBook Air. To help us understand what's going on, could you tell us if this happens with all apps or just a few? Also, what macOS version is currently installed on your device?",5,5,5,4,5,5,Useful clarification about affected apps and macOS version.
3,My iPhone won't connect to Wi-Fi.,"We can help with your iPhone's Wi-Fi connection. Please try restarting your device. If it still won't connect, DM us for further assistance.",5,4,5,4,5,4,Provides a basic troubleshooting step and further support.
4,I forgot my Apple ID password and can't sign in.,We can help with that. You can reset your Apple ID password here: https://iforgot.apple.com,5,5,5,5,5,5,Directly addresses the password issue with a reset link.
5,My music disappeared from my iPhone.,Missing music is never fun. What device and software version are you using? Did you recently sign out of iTunes or the App Store?,5,4,5,4,5,4,Asks relevant questions about the missing music.
6,How do I back up my iPhone before updating iOS?,"To back up your iPhone before updating iOS, you can use iCloud or a computer. Your iPhone backup will help ensure your data is safe. Here's how to back up your iPhone using iCloud: https://t.co/tHicJHB57O",5,5,5,5,5,5,Provides a relevant backup method and support link.
7,I was charged for a subscription I don't recognize.,"I understand you've been charged for a subscription you don't recognize. If you are seeing an unexpected charge, you can get help with that here: https://t.co/SDIe7UiyJN",5,5,5,5,5,5,Addresses the unknown charge and provides a support path.
8,My iPhone camera stopped working.,We'd be glad to help with your iPhone camera. Please send us a DM so we can gather more information and assist you further. [DM Link],5,5,5,4,5,5,Relevant troubleshooting follow-up for the camera issue.
9,I need help with my iPhone purchase.,We're happy to help! What's going on with your iPhone purchase?,5,5,5,4,5,4,Relevant but asks for more details about the purchase.
10,My phone keeps restarting after the latest update.,"Let's take a closer look together. To start, what iPhone model do you have and which iOS version are you currently running? Does this seem to happen while using any specific apps or features?",5,5,5,5,5,5,Good diagnostic questions about restarting after the update.
11,My iPhone keeps restarting after the latest update.,"We're glad you reached out, and we'd like to help take a closer look at your iPhone restarting after the update. What appears on the screen when it restarts?",5,5,5,4,5,5,Relevant follow-up question about what appears during restart.
12,I can't download any apps from the App Store.,"We're here to help get your apps downloading again. Please send us a direct message with the device you're using, its current OS version, and whether you're seeing any error messages when trying to download.",5,5,5,4,5,5,"Useful questions about device, OS version, and error messages."
13,My Apple ID keeps saying my password is incorrect.,"We want to help with this. Which device are you using, and what software version is currently installed on it? Also, are you able to sign in to your Apple ID on a web browser without any issue? 

Feel free to send us a Direct Message if you need additional assistance.",5,5,5,4,5,5,Relevant account troubleshooting questions and DM option.
14,My iPhone camera suddenly stopped working.,"We want to help get your camera working again. Could you share a few more details about what happens when you open the Camera app? Do you see a black screen or get an error message? 

Send us a DM with those details so we can assist you further.",5,5,5,4,5,5,Asks useful diagnostic questions about the camera problem.
15,I need help restoring my data from an iCloud backup.,We'll be happy to help! Please send us a DM so we can look into this for you.,5,5,5,3,5,4,Relevant DM follow-up but provides limited guidance.
16,There is a subscription charge on my account that I don't recognize.,We'd like to look into this with you. Please send us a direct message with more details about the charge so we can assist.,5,5,5,4,5,5,Addresses the unknown charge and requests more details.
17,My AirPods won't connect to my iPhone.,We've got your back! What happens when you try to connect your AirPods to your iPhone? Are you seeing any error messages?,5,5,5,4,5,5,Relevant clarification about the AirPods connection problem.
18,My MacBook is running very slowly after the update.,"We'd like to help look into this with you. Please send us a DM with your MacBook model and additional details about where you're noticing the slowness, and we can get started.",5,5,5,4,5,5,Appropriate follow-up requesting MacBook details.
19,My music library has disappeared from my iPhone.,"We would like to look into this issue with you. Were these missing songs purchased from the iTunes Store? Also, please let us know what software version your iPhone is currently running so we can provide the proper troubleshooting steps.",5,5,5,4,5,5,Relevant questions about missing music and software version.
20,How do I change the settings on my iPhone?,"We'd like to help. Could you let us know which specific settings you are trying to change, as well as your iPhone model and iOS version?",5,5,5,4,5,5,Appropriately asks which settings need to be changed.
21,My iPhone screen is not responding to touch.,We'd like to look into this with you. Try performing a forced restart on your iPhone. Please send us a Direct Message with your iPhone model and the results of the restart so we can continue assisting you.,5,4,5,4,5,5,Provides a troubleshooting step and asks for device details.
22,I can't connect my iPhone to Bluetooth.,"Let's work on this together. Could you tell us which iPhone model you have, what device you are trying to connect to, and what issue or error occurs when you try to connect?",5,5,5,4,5,5,Useful questions about the Bluetooth connection problem.
23,My battery is not charging properly.,"We're here to help get this figured out. To start, are you using an Apple-certified charger? Also, when did this behavior start, and which device are you having this issue with?",5,4,5,4,5,5,"Relevant questions about charger, device, and timing."
24,I purchased an app by mistake and need help.,"We're here to help. You can request a refund for your purchase here: https://t.co/tlZYM6JMKL, or reach out directly to our iTunes Store support team so they can look into this with you: https://t.co/SDIe7UiyJN",5,5,5,5,5,5,Provides a direct purchase-refund support path.
25,My iPhone is overheating since I installed the latest iOS.,We'd like to look into this with you. Please send us a DM with more details on what you're experiencing with your iPhone so we can help get started.,5,5,5,3,5,4,Relevant DM follow-up but limited immediate troubleshooting.
26,I forgot my Apple ID and can't access my account.,"We're here to help. If you forgot the email address you use as your Apple ID, there are steps you can try to find it. If you know your Apple ID but don't know the password, you can reset it. 

Could you clarify if you need help finding your Apple ID email address or resetting your password?",5,5,5,5,5,5,Good clarification between Apple ID and password recovery.
27,My iPhone keeps showing an error when I try to update it.,We're here to help get your iPhone updated. Could you let us know what specific error message you're seeing and what model of iPhone you have? Please send us a Direct Message so we can take a closer look into this with you.,5,5,5,4,5,5,Appropriately asks for the update error and iPhone model.
28,I need help setting up my new iPhone.,Thanks for reaching out! We're happy to help set up your new iPhone. Send us a DM with your current country or region so we can provide the best steps to get you started.,5,5,5,4,5,5,"Relevant setup assistance, requesting useful information."
29,My apps are crashing whenever I open them.,"We'd be glad to help! To get started, could you let us know which iOS version is currently installed on your device, and if your apps are fully updated? Also, does the crash send you back to the Home screen?",5,5,5,4,5,5,Useful diagnostic questions about app crashes.
30,My iCloud backup isn't completing.,"We're here to help get your iCloud backup working. 

Have you tried restarting your device yet? Also, if you're seeing a specific error message when the backup fails, please let us know what it says so we can best assist you.",5,5,5,4,5,5,Relevant troubleshooting questions for incomplete backup.
