case_id,initial_customer_message,final_apple_reply,conversation,intent,label_notes,review_status
case_076794,Hi @AppleSupport please read the PM that I sent you about a (supposedly) fake invoice! Hope you can help out.,,,billing_subscription,Fake invoice / billing issue,human_confirmed
case_089838,@AppleSupport Is a full backup required before downloading the latest iOS?,,,how_to_settings,Question about backup requirements before iOS update,human_confirmed
case_005355,"Hey @115858 @AppleSupport, why is battery so crap on iOS 11? Why has this not been fixed as an issue? @116333? #batterylifematters",,,battery_charging,Battery drain / poor battery life after iOS 11,human_confirmed
case_056597,i’m over @115858 i updated my iphone 6 to ios 11 and now it’s fuckt. no WAY i’m dropping $1600 on an X. thanks @AppleSupport :),,,software_update_bug,iPhone malfunction after iOS 11 update,human_confirmed
case_007432,"Hi @AppleSupport, I disabled my iPad after it was stolen in July but forgot to cancel my MS Word sub, which I've been paying since. (1/2)",,,billing_subscription,Ongoing subscription charges after stolen iPad,human_confirmed
case_056338,ok iOS 11 is great and all but uh where is the update fixing this whole I crap @115858,,,software_update_bug,Asking about an update to fix iOS 11 issues,human_confirmed
case_002969,"iOS 11.0.2 running on a 32 GB iPhone 7 Plus, microphone and speaker not working during calls. Battery drains quickly @AppleSupport",,,device_hardware,,human_confirmed
case_039257,@115858 my phone keeps freezing with the new update. Fix it please and thank you.,,,software_update_bug,,human_confirmed
case_012433,@115858 bugs for messages need to be fixed. 😭,,,app_functionality,,human_confirmed
case_100859,"I absolutely hate this fucking thing. I hate this fucking iPhone. Too often, I can’t even remember a tweet long enough to execute it, what with all the distractions. The phone will fall asleep before I’ve finished reading; before my thought is complete. I could go on. @115858",,,how_to_settings,,human_confirmed
case_048540,@115858 I’d really love to be able to listen to @118062 new song on repeat but YOU WON’T LET ME DOWNLOAD IT #CallItWhatYouWant,,,media_music,,human_confirmed
case_071218,@AppleSupport I still see boxes &amp; I updated my phone ... sooo,,,software_update_bug,,human_confirmed
case_085111,@AppleSupport Radio stations i used to open with Safari like https://t.co/cPbJhKf8uM don't work anymore on iOS 11 - 11.2 on iPhone X ... internet radio apps work fine,,,software_update_bug,,human_confirmed
case_077673,@115858 fix please https://t.co/P9kRw8B7mM,,,other_unclear,,human_confirmed
case_023278,"Hey @AppleSupport, I’ve got an iPhone 6 and it’s HELL since ios11! Updates don’t change a thing about the awful lag of EVERY app 😠",,,software_update_bug,,human_confirmed
case_083754,@AppleSupport you want to tell me why when my phone is put into airplane mode then it's turned off why the symbol wont go away and turn off?,,,connectivity,Airplane Mode / network connectivity setting issue,human_confirmed
case_017839,IOS 11..you have broken my phone! Battery lasts 4 hours now...@43193 @AppleSupport @115858 #iOS11 #applebattery,,,battery_charging,Battery life significantly reduced after iOS 11 update,human_confirmed
case_035326,@AppleSupport Please check DM.,,,other_unclear,,human_confirmed
case_078692,@AppleSupport How do I know when my iPhone is DONE restoring? Will it ever pop up a message/notification? Thanks! JZ,,,icloud_backup_restore,Question about knowing when iPhone restoration is complete,human_confirmed
case_094134,@115858 i swear the latest #ios updates are getting worse. What a shame ! #apple #ios https://t.co/OM2IjdMVnH,,,software_update_bug,Complaint about worsening iOS updates,human_confirmed
case_061942,@115858 @AppleSupport fix this Wingdings bullshit.,,,software_update_bug,Text/font rendering issue,human_confirmed
case_022823,@applesupport any chance the hardware lighting issue down the left side of my iPad Pro 9.7” is covered under a known issue or something? https://t.co/XbTeqOhAI3,,,device_hardware,Hardware/display lighting issue on iPad Pro,human_confirmed
case_035073,@AppleSupport please tell me how to mute specific messages on my Apple Watch — I’ve got group msg blowing me up all day tho muted on phone,,,how_to_settings,How-to question about muting specific messages on Apple Watch,human_confirmed
case_027032,@115858 Ok guys. Here’s a question: how do I get my phone to play an album from start to finish without shuffling it?,,,media_music,How-to question about album playback without shuffle,human_confirmed
case_086229,@AppleSupport I got a new iPhone X and did a restore of backup from previous iPhone. Text replacements did not come with the restore and have not synced to new iPhone X. Is there a way get them to sync? (I have them on iPad and iMac),,,icloud_backup_restore,Text replacements missing after restoring backup to a new iPhone,human_confirmed
case_099412,@AppleSupport @188 why Activitu sharing to Facebook doesn’t work? https://t.co/qQKvDITujw,,,app_functionality,Facebook activity sharing functionality not working,human_confirmed
case_052322,I️ can’t breathe 😭😭 https://t.co/99MYTMlX1u,,,other_unclear,Insufficient context to determine the support issue,human_confirmed
case_100934,"Help! Is there anyone who can tell me what the problem with my 2011 @115858 #MacBook Pro is? Can this be repaired, or is this really the end..? #feelingdesperate #apple #macbookpro @5165 https://t.co/tR9xqvJ2Y3",,,device_hardware,MacBook Pro repair / hardware support question,human_confirmed
case_095924,@AppleSupport my Apple Music isn’t working 😭😭😭😭😭 what’s going onnnnnnn,,,media_music,Apple Music not working,human_confirmed
case_101435,Why does my Siri sound fucked up!!! Anyone else having this problem?? @AppleSupport,,,app_functionality,Siri functionality / voice output problem,human_confirmed
case_071299,“I️ don’t live in a suburb and I️ hope I️ never will.” PRAISE BE,,,other_unclear,No identifiable Apple support issue,human_confirmed
case_018093,@115858 @AppleSupport after iOS 11 my camera app is not working: the images just can’t stabilize. It’s happening both for videos &amp; pics,,,app_functionality,Camera app malfunction after iOS 11.,human_confirmed
case_014407,@115858 I’m really traumatized by my sudden iphone death. how does a pristine phone just stop working?,,,device_hardware,3,human_confirmed
case_086938,"@AppleSupport When I’m viewing existing messages, specifically captions on Instagram. I sent DM.",,,app_functionality,Issue involving viewing Instagram messages/captions,human_confirmed
case_031027,@118845 second time these have broken like this come on https://t.co/3JbyDNV9EG,,,device_hardware,"Something has physically/bodily “broken” repeatedly, but the exact component is unclear from the text; device_hardware is the closest support intent.",human_confirmed
case_075135,"Upgrading to iOS 11.1 totally fucked up my iPhone 7. Keeps hanging every 20 seconds, like it can't keep up with my taps. Thanks @115858",,,software_update_bug,iPhone hangs/freezes after iOS 11.1 update.,human_confirmed
case_050146,Dear @AppleSupport since upgrading my 6s+ to ios11 I’ve been having some major issues: random freezes &amp; wonky autocowrecked issues. Help?,,,software_update_bug,Random freezes and autocorrect problems started after iOS 11.,human_confirmed
case_104526,"@AppleSupport macOS keeps asking for local items keychain password, help me please?",,,account_authentication,macOS Local Items Keychain password prompt,human_confirmed
case_083661,@AppleSupport How come my iPhone is randomly deleting tracks I bought on iTunes? I keep having to download them again which is a pain. https://t.co/BtZyezPBLR,,,media_music,Purchased music disappearing from iTunes library.,human_confirmed
case_016639,"@AppleSupport how to get rid of familyshare setting_it’s upsetting me every time when I try to update any app from my one iPhone, and it asks me password of my other itune account_I changed passwords too but it’s same.",,,account_authentication,Family Sharing / Apple ID authentication issue.,human_confirmed
case_075214,@AppleSupport is there a way to add a selected song to an Apple Music saved playlist?,,,media_music,How-to question about adding a song to an Apple Music playlist,human_confirmed
case_070243,Yo @115858 can we get word on these trash ass icons that pop up instead of the letter “i”,,,software_update_bug,Text/icon rendering issue,human_confirmed
case_025877,"Dear @AppleSupport my AppleTv is not playing clips until restart, which fixes it only for a while. @116602 app shows error,TED app gives up https://t.co/e1gPJ9y8yY",,,app_functionality,Apple TV apps fail to play clips and show errors,human_confirmed
case_084585,@AppleSupport I️ miss being able to say ‘I’,,,other_unclear,No clear Apple support issue; insufficient context,human_confirmed
case_063582,Yo @115858 what’s good with this new update? My phone keeps glitching when ii Type the letter “i” 🤦🏽‍♂️,,,software_update_bug,Typing/rendering glitch with the letter “i” after a software update,human_confirmed
case_058531,@115858 what’s with the I️ key function failure?,,,software_update_bug,I key function failure / keyboard issue,human_confirmed
case_047109,SOS!! Someone pls help me before I️ lose my mind!!! https://t.co/xDMC9YfVbi,,,other_unclear,No identifiable Apple support issue from the message,human_confirmed
case_029353,Enormous #lags with #calendar app on #ipadair2 with #ios11.0.3 @115858 @AppleSupport 😡😡😡😡,,,software_update_bug,Calendar app lagging after iOS 11.0.3 update,human_confirmed
case_040197,The fan on my Time capsule seems to have died. Is there any way of getting it repaired @AppleSupport? Don't really want to buy another!,,,device_hardware,Time Capsule fan failure / hardware repair request,human_confirmed
case_099139,"@115858 could you please release a GOOD update to iOS 11 and all those beta versions? Nobody can take it anymore. It cracks all the time and Apple Music won’t let us search songs. I’m about to throw this iPhone away and buy an Android. So, get better, fellows.",,,software_update_bug,iOS 11 crashes and instability after updates,human_confirmed
case_083424,@AppleSupport since upgrading the Apple Watch software the battery drains very quickly,,,battery_charging,Battery drains quickly after Apple Watch software update,human_confirmed
case_089192,I️’m not even enjoying my break because I️ feel so guilty for relaxing knowing the end of the semester is right around the corner,,,other_unclear,No identifiable Apple support issue,human_confirmed
case_099261,Wtf does my 7 has to do with the iphoneX software update. Quit the bs @115858,,,software_update_bug,Complaint about iPhone 7 being affected by iPhone X software update,human_confirmed
case_097698,"Hey @AppleSupport @117735 my week old iPhone doesn't operate...AT ALL. For $1000 I would expect a little more, or at least a Genius appt. available before MONDAY. #goingandroid",,,device_hardware,New iPhone completely nonfunctional; requesting repair/support appointment,human_confirmed
case_049001,"@AppleSupport I beg you speed up my phone recovery, 3 days is taking the piss",,,account_authentication,Phone/account recovery request with delayed recovery process,human_confirmed
case_059309,This iPhone update every time you type “I” needs to stop. @115858 @AppleSupport “I” turns into “I️”. But why?,,,software_update_bug,Keyboard/text rendering bug introduced by iPhone software update,human_confirmed
case_020819,What does this even mean? I bought the album! https://t.co/ABaEMieDd4,,,media_music,Issue regarding a purchased music album,human_confirmed
case_049868,YOU NEED TO FIX THIS SQUARE SHIT !! @115858 LIKE RN I️ CANT SEE HALF THE SHIT I️ TYPE,,,software_update_bug,Text rendering/display bug causing characters to appear as squares,human_confirmed
case_013074,"@AppleSupport Dear Team, My iPhone 6s Plus started misbehaving after new update. How to control him not to misbehave. #iOS10 @115858",,,software_update_bug,iPhone started malfunctioning after a software update,human_confirmed
case_080608,@AppleSupport my iPhone X just dialed 911 by itself when my phone was in the holster on my waist.,,,device_hardware,iPhone unexpectedly initiated an emergency call while not being actively used,human_confirmed
case_020749,"@AppleSupport My iPhone 5c is searching the network but isn't founding, and yes, i've checked my IMEI, and is it there. What is the problem?",,,connectivity,iPhone unable to find/connect to cellular network,human_confirmed
case_097823,"@AppleSupport iMessage isn’t working through my Apple Watch, yet it’s turned on? What do I do?",,,app_functionality,iMessage functionality issue on Apple Watch,human_confirmed
case_042995,"#macOSHighSierra @115858 @applesupport This is really a horrible version of the OS! Have I, or have I not updated #XCode to 9.1? https://t.co/9fsIyJIdQm",,,software_update_bug,macOS High Sierra and Xcode update/compatibility issue,human_confirmed
case_055069,Hi I️ need someone to personally fix my phone bc I️ can’t type the letter between H and J anymore @AppleSupport,,,software_update_bug,Keyboard issue preventing the letter I from being entered correctly,human_confirmed
case_013712,@115858 @AppleSupport @116333 @119462 #iOS11 has the worst battery life of any iOS i have ever run on an #iPhone #Worstbatterylifeever,,,battery_charging,,human_confirmed
case_106302,"@AppleSupport at the last keynote they said the tv app was coming to the uk but there’s been no news since, any idea if that’s still happening?",,,purchase_service_support,Question about Apple TV app/service availability in the UK,human_confirmed
case_038520,@AppleSupport i need to book an appointment in a store to pre order the X on the iPhone payment plan not the upgrade. But no one is helping.,,,purchase_service_support,Request for store appointment and iPhone X pre-order payment plan,human_confirmed
case_018966,#iOS11 has made my #iphone 6S+ unusable 😭 #Apple @AppleSupport #ios1103,,,software_update_bug,iPhone became unusable after iOS 11 update,human_confirmed
case_096212,"@AppleSupport Please tell me what my 15 year old daughter is supposed to use to light her way home at the end of a school day, when her iPhone battery is at 15%? Should she go out &amp; buy a torch to carry with her now-useless iPhone? Or walk in the dark? Answers on a postcard...",,,battery_charging,Complaint about inadequate iPhone battery life,human_confirmed
case_034123,@115858 Hey my iPhone 7 is activation locked can you guys help me someone stole it like 3months ago so I reported it lost and stolen and I,,,account_authentication,Activation Lock issue involving a lost/stolen iPhone,human_confirmed
case_059048,@115858 fix this. https://t.co/GdCsm8gvNJ,,,other_unclear,Insufficient context; only a request to fix an attached link,human_confirmed
case_011405,@AppleSupport still having problems with my battery😡 really unhappy!!!😡,,,battery_charging,Battery problems / poor battery performance,human_confirmed
case_014883,Hey @115858 the new update kills my battery 😩😩😩,,,battery_charging,Battery life reduced after software update,human_confirmed
case_061399,"My phone is frozen pretty much 24/7 now after the update, thanks @115858",,,software_update_bug,Phone freezing continuously after software update,human_confirmed
case_094873,"I’m not playing when I say this. I turned it off and back on bc it was acting slow, and the battery drop to 45 percent. What is this mess? @AppleSupport I love you, but this can’t be happening. https://t.co/N8A9AHUYmd",,,battery_charging,Battery percentage dropped significantly after restarting the device,human_confirmed
case_042612,Ok @AppleSupport why is the weird question mark box thing happening if you try to type just a capital letter eye,,,software_update_bug,Question-mark box appears when typing the capital letter I,human_confirmed
case_011363,Where the fuck did all my music go #iPhone8 @115858,,,media_music,Music library/content disappeared from iPhone,human_confirmed
case_037278,Hey your latest update ruined my iPhone @115858,,,software_update_bug,iPhone malfunctioning after the latest software update,human_confirmed
case_094374,Bruh I️ message needs a night mode like twitter and fix the little question mark in the box @AppleSupport,,,app_functionality,iMessage feature request and display/rendering issue,human_confirmed
case_036586,"@AppleSupport iOS 11.0.3, 6 won’t give me best route to/from work/home when connecting to car’s BT, even with DND off.",,,connectivity,Navigation/route issue when connected to car via Bluetooth,human_confirmed
case_062979,@AppleSupport my iPhone is working terribly. Battery goes from 50 to 14 in seconds. Very slow. Freezes. On current upl,,,battery_charging,Battery percentage drops rapidly with poor battery performance,human_confirmed
case_035353,@133941 @AppleSupport this bug won’t fix? I’ve uninstalled the app etc. Constant refreshing doesn’t fix it. Can you help? https://t.co/T0bPVzDEc0,,,app_functionality,App functionality bug persists after reinstalling and refreshing,human_confirmed
case_084469,And @115858 are y’all just trolling with this I️ bug. Making all my sentences look absolutely retarded,,,software_update_bug,I-character text rendering bug affecting typed sentences,human_confirmed
case_048256,What to do with my sluggish iphone 6 plus with ios 11? #ios11 @AppleSupport,,,software_update_bug,Sluggish iPhone performance while running iOS 11,human_confirmed
case_098622,"Dear @AppleSupport, we noticed a *HUGE* security issue at MacOS High Sierra. Anyone can login as ""root"" with empty password after clicking on login button several times. Are you aware of it @115858?",,,software_update_bug,macOS High Sierra security vulnerability allowing root login without a password,human_confirmed
case_062688,Apple also needs to fix how my music stops playing when I get a notification. I’m so annoyed. Y’all fucked up. @115858,,,media_music,Music playback stops when a notification is received,human_confirmed
case_033604,@AppleSupport my MacBook is showing a restricted symbol upon start up. What can I do to troubleshoot?,,,device_hardware,MacBook startup problem showing a restricted symbol,human_confirmed
case_094742,@AppleSupport How do I transfer PDFs in my ibooks from one iPad to another ?,,,icloud_backup_restore,How-to question about transferring PDFs from one iPad to another,human_confirmed
case_018719,@AppleSupport после обновления на iOS 11 серьезные тормоза с разблокировкой на iPhone 7. 11.0.1-11.0.3 не помогли.,,,software_update_bug,Serious iPhone 7 unlocking lag after iOS 11 update,human_confirmed
case_040804,@AppleSupport how do i fix this notification? won’t go away when i delete the event. https://t.co/FoeVcJvKzC,,,app_functionality,Calendar/event notification remains after deleting the event,human_confirmed
case_088502,@AppleSupport @115858 The service at Stratford Westfield is piss poor! Get better service at a chicken and chip shop,,,purchase_service_support,Complaint about poor customer service at an Apple Store,human_confirmed
case_034917,@AppleSupport any suggestions for making my battery last longer than 1% a minute? https://t.co/DoOA0MIPa9,,,battery_charging,Question about improving battery life / rapid battery drain,human_confirmed
case_092438,Bug still available in status bar. IOS 11.1.2 Developer iPhone 6 plus @AppleSupport https://t.co/cziqLhMMaZ,,,software_update_bug,Persistent status bar bug in iOS 11.1.2,human_confirmed
case_069941,طيب انا مش هاخد جايزة اني كسرت 3 ايفون وايباد في اسبوعين؟ @115858 @AppleSupport,,,other_unclear,No clear Apple support request; unclear context,human_confirmed
case_030641,@AppleSupport IOS 11 and its updates have destroyed my Red IPhone 7 Plus. @2310 Battery life✖️Messaging✖️Safari✖️It’s been 3 weeks!!!!,,,software_update_bug,Multiple iPhone functions broken after iOS 11 updates,human_confirmed
case_007481,How come when I take a screenshot it doesn’t show me doing it on my screen like it doesn’t do that flash thing? @AppleSupport,,,app_functionality,Screenshot flash/visual feedback not appearing,human_confirmed
case_055164,Oh hell no i just did that going to my settings to fix my “i” and i see this bull shit pop back up @115858 !? The fuck going on ?,,,software_update_bug,Persistent “I” character rendering bug in iOS,human_confirmed
case_057297,I️ need @115858 to fix this letter glitch please,,,software_update_bug,Letter rendering/input glitch requiring a software fix,human_confirmed
case_101556,@AppleSupport Podcasts in the iOS Podcast app are perpetually downloading and never finishing. I’m on wi-fi with plenty of storage space. Please help!,,,media_music,Podcasts remain stuck downloading despite Wi-Fi and available storage,human_confirmed
case_031385,".@115858 when I want to turn off Bluetooth and Wi-Fi, I really want to turn off Bluetooth and Wi-Fi. FFS! #ios11",,,connectivity,Question/complaint about controlling Bluetooth and Wi-Fi connectivity settings in iOS 11,human_confirmed
case_032456,"@AppleSupport Hi, why does my iPhone now think is should be I.S? As if this I.S a reasonable substitution?",@565251 Thank you for reaching out to us. We'd like to help get that corrected. Can you DM us the Device type and iOS of the device? https://t.co/GDrqU22YpT,"Customer: @AppleSupport Hi, why does my iPhone now think is should be I.S? As if this I.S a reasonable substitution?
AppleSupport: @565251 Thank you for reaching out to us. We'd like to help get that corrected. Can you DM us the Device type and iOS of the device? https://t.co/GDrqU22YpT",app_functionality,,human_confirmed
case_047965,@115858 What in the actual fuck is up with these question mark in a box ass things when I️ try to type???,@462137 We'd like to look into this with you. Please send us a DM with which version of iOS you're updated to. https://t.co/GDrqU22YpT,"Customer: @115858 What in the actual fuck is up with these question mark in a box ass things when I️ try to type???
Customer: @115858 See that bullshit
AppleSupport: @462137 We'd like to look into this with you. Please send us a DM with which version of iOS you're updated to. https://t.co/GDrqU22YpT",software_update_bug,,human_confirmed
case_097047,"Estimadas personas de @115858 y @AppleSupport, su iOS 11 provoca que los iPhone 6 se conviertan en una Olivetti Lettera 25 de 1982. Por su atención, gracias. https://t.co/WGkgRBpGaC",@789656 Let's continue the conversation in DM. https://t.co/GDrqU22YpT,"Customer: Estimadas personas de @115858 y @AppleSupport, su iOS 11 provoca que los iPhone 6 se conviertan en una Olivetti Lettera 25 de 1982. Por su atención, gracias. https://t.co/WGkgRBpGaC
Customer: @789656 @115858 @AppleSupport No entiendo por qué tu tuit no se ha convertido en estandarte de protesta mundial.
Customer: @790404 @115858 @AppleSupport ¡Vaya! Creía ser el único.... me llena de esperanza saber que somos más los afectados. O, no, no me llena de esperanza. Tal vez de ese ""consuelo de tontos"" del que habla el dicho. Porque casi sospecho que la solución propuesta va a ser: ""Cambie de iPhone"" 🙄
Customer: @789656 @115858 @AppleSupport Se me va la idea de lo que ando queriendo textear. El otro día dije exactamente lo que tu tuit: siento que estoy escribiendo en una máquina eléctrica. 😑
Customer: @790404 @115858 @AppleSupport ¡Sí! Muchas de las funciones se han se han vuelto notablemente más lentas. Ayer le iba a tomar una foto a un bebé recién nacido, y para cuando funcionó la cámara, ya estaba haciendo su primera comunión. 😔
AppleSupport: @789656 Let's continue the conversation in DM. https://t.co/GDrqU22YpT",software_update_bug,,human_confirmed
case_047891,.@115858 wtf wrong with my keyboard after this update ????????,@589133 Let's look into what's occurring with the keyboard together. Send a DM telling us which iPhone and the iOS version it's running. https://t.co/GDrqU22YpT,"Customer: .@115858 wtf wrong with my keyboard after this update ????????
AppleSupport: @589133 Let's look into what's occurring with the keyboard together. Send a DM telling us which iPhone and the iOS version it's running. https://t.co/GDrqU22YpT",software_update_bug,,human_confirmed
